Type            ; Polynomial ; Size
32-GZIP         ; 0x04C11DB7 ; 32
32-CASTAGNOLI   ; 0x1EDC6F41 ; 32
32-AIXM         ; 0x814141AB ; 32
32-KOOPMAN      ; 0x32583499 ; 32
30-CDMA         ; 0x2030B9C7 ; 30
24-LTEA         ; 0x864CFB   ; 24
24-RADIX-64     ; 0x864CFB   ; 24
24-FLEXRAY      ; 0x5D6DCB   ; 24
24-5GA          ; 0x864CFB   ; 24
24-5GB          ; 0x800063   ; 24
24-5GC          ; 0xB2B117   ; 24
21-CAN          ; 0x102899   ; 21
17-CAN          ; 0x1685B    ; 17
16-IBM          ; 0x8005     ; 16
16-CCITT        ; 0x1021     ; 16
16-PROFIBUS     ; 0x1DCF     ; 16
16-OPENSAFETY-B ; 0x755B     ; 16
16-OPENSAFETY-A ; 0x5935     ; 16
16-DNP          ; 0x3D65     ; 16
16-T10-DIF      ; 0x8BB7     ; 16
16-DECT         ; 0x0589     ; 16
16-CDMA2000     ; 0xC867     ; 16
16-ARINC        ; 0xA02B     ; 16
16-CHAKRAVARTY  ; 0x2F15     ; 16
16-5G           ; 0x1023     ; 16
15-MPT1327      ; 0x6815     ; 15
15-CAN          ; 0x4599     ; 15
14-DARC         ; 0x0805     ; 14
13-BBC          ; 0x1CF5     ; 13
12-CDMA2000     ; 0xF13      ; 12
12-TELECOM      ; 0x80F      ; 12
11-FLEXRAY      ; 0x385      ; 11
11-5G           ; 0x621      ; 11
10-CDMA2000     ; 0x3D9      ; 10
10-ATM          ; 0x233      ; 10
8-WCDMA         ; 0x9B       ;  8
8-SAE-J1850     ; 0x1D       ;  8
8-DARC          ; 0x39       ;  8
8-DALLAS        ; 0x31       ;  8
8-CCITT         ; 0x07       ;  8
8-AUTOSAR       ; 0x2F       ;  8
8-DVB-S2        ; 0xD5       ;  8
7-MVB           ; 0x65       ;  7
7-MMC           ; 0x09       ;  7
6-CDMA2000-A    ; 0x27       ;  6
6-CDMA2000-B    ; 0x07       ;  6
6-DARC          ; 0x19       ;  6
6-ITU           ; 0x03       ;  6
5-ITU           ; 0x15       ;  5
5-EPC           ; 0x09       ;  5
5-USB           ; 0x05       ;  5
4-ITU           ; 0x3        ;  4
1-PAR           ; 0x1        ;  1